Cuisine 1,Cuisine 2,Item_count,item
russian,italian,12,sausage beef citrus fruit other vegetables whole milk butter milk whipped/sour cream beverages hard cheese rolls/buns dish cleaner cookware
mexican,chinese,2,misc. beverages newspapers
french,italian,1,white wine
italian,southern_us,6,sausage sliced cheese rolls/buns soda canned beer shopping bags
southern_us,italian,4,meat curd bottled beer cake bar
southern_us,italian,8,frankfurter meat tropical fruit onions oil baking powder tea cling film/bags
french,italian,3,ice cream rolls/buns canned beer
mexican,french,1,canned beer
southern_us,british,6,tropical fruit berries root vegetables other vegetables bottled water shopping bags
southern_us,moroccan,12,meat citrus fruit other vegetables curd dessert butter milk beverages cream cheese rolls/buns brown bread tea bottled water
indian,british,3,whole milk mustard bottled water
southern_us,moroccan,8,sausage beef beverages sliced cheese rolls/buns spices house keeping products flower (seeds)
italian,cajun_creole,9,frankfurter sausage root vegetables butter curd sliced cheese rolls/buns salty snack long life bakery product
mexican,korean,4,meat other vegetables butter rolls/buns
italian,chinese,5,root vegetables beverages Instant food products pickled vegetables detergent
indian,italian,6,root vegetables herbs other vegetables whole milk sliced cheese rolls/buns
southern_us,russian,4,whole milk whipped/sour cream semi-finished bread margarine
mexican,southern_us,16,citrus fruit whole milk curd dessert yogurt whipped/sour cream frozen dessert rolls/buns salt sugar cereals canned vegetables canned fish skin care hygiene articles napkins
southern_us,french,7,citrus fruit curd pastry margarine sugar candy newspapers
italian,indian,8,other vegetables whole milk bottled water soda misc. beverages bottled beer red/blush wine napkins
indian,russian,3,citrus fruit whole milk rolls/buns
italian,cajun_creole,4,sausage oil hygiene articles napkins
irish,mexican,11,frankfurter beef hamburger meat grapes root vegetables whole milk butter frozen dessert potato products bottled water bottled beer
italian,filipino,4,hard cheese rolls/buns bottled water newspapers
italian,french,4,cream cheese rolls/buns soda chocolate
italian,cajun_creole,5,turkey beef frozen vegetables dishes photo/film
french,southern_us,6,pork other vegetables whipped/sour cream rolls/buns soda shopping bags
indian,southern_us,2,whole milk beverages
irish,southern_us,2,rolls/buns soda
indian,russian,9,sausage pip fruit whole milk curd yogurt sliced cheese rolls/buns bottled water hygiene articles
french,italian,1,ice cream
mexican,southern_us,1,liquor
southern_us,mexican,3,pip fruit other vegetables fruit/vegetable juice
indian,chinese,3,root vegetables other vegetables yogurt
irish,southern_us,1,soda
irish,southern_us,1,soda
indian,greek,11,sausage citrus fruit tropical fruit other vegetables whole milk yogurt rolls/buns bottled water soda chocolate newspapers
indian,none,4,root vegetables whole milk pet care detergent
chinese,vietnamese,6,pork berries root vegetables other vegetables pastry specialty bar
southern_us,filipino,1,pork
italian,southern_us,1,chocolate
mexican,southern_us,1,fruit/vegetable juice
mexican,french,2,pickled vegetables coffee
italian,indian,1,bottled water
southern_us,mexican,7,frankfurter sausage butter whipped/sour cream rolls/buns margarine spices
moroccan,southern_us,12,tropical fruit pip fruit onions other vegetables whole milk domestic eggs sugar soups tea soda hygiene articles napkins
mexican,french,1,canned beer
vietnamese,indian,1,root vegetables
indian,southern_us,6,meat citrus fruit berries root vegetables whole milk soda
southern_us,mexican,5,frankfurter rolls/buns bottled water fruit/vegetable juice hygiene articles
southern_us,jamaican,3,tropical fruit margarine rum
russian,indian,8,tropical fruit root vegetables herbs whole milk butter milk whipped/sour cream flour hygiene articles
irish,southern_us,11,citrus fruit pip fruit root vegetables other vegetables whole milk cream cheese domestic eggs brown bread margarine baking powder waffles
indian,italian,11,hamburger meat other vegetables whole milk curd yogurt rolls/buns pastry semi-finished bread margarine bottled water fruit/vegetable juice
mexican,italian,11,chicken pip fruit other vegetables whole milk dessert yogurt whipped/sour cream rolls/buns pasta soda waffles
thai,indian,7,chicken citrus fruit tropical fruit root vegetables whole milk frozen fish rolls/buns
indian,cajun_creole,8,frankfurter citrus fruit onions other vegetables whole milk rolls/buns sugar soda
mexican,french,1,canned beer
italian,southern_us,4,turkey pip fruit salad dressing pastry
vietnamese,spanish,10,packaged fruit/vegetables whole milk curd yogurt domestic eggs brown bread mustard pickled vegetables bottled water misc. beverages
italian,none,1,pasta
japanese,italian,2,citrus fruit tropical fruit
indian,southern_us,6,sausage whole milk yogurt rolls/buns brown bread potted plants
indian,british,5,whole milk frozen meals pastry fruit/vegetable juice waffles
mexican,french,1,canned beer
japanese,chinese,3,citrus fruit sugar sauces
mexican,indian,1,liquor (appetizer)
southern_us,italian,5,citrus fruit other vegetables rolls/buns salty snack shopping bags
italian,cajun_creole,1,sausage
indian,mexican,9,chicken other vegetables whole milk vinegar oil bottled water canned beer napkins newspapers
mexican,russian,9,hamburger meat root vegetables other vegetables whole milk yogurt whipped/sour cream specialty cheese flour margarine
brazilian,italian,7,sausage pork other vegetables dessert yogurt oil soda
russian,southern_us,6,beef berries root vegetables whole milk whipped/sour cream abrasive cleaner
southern_us,irish,4,citrus fruit packaged fruit/vegetables yogurt bottled water
french,vietnamese,2,UHT-milk coffee
southern_us,italian,1,candy
mexican,chinese,1,newspapers
greek,japanese,4,beef citrus fruit other vegetables yogurt
italian,cajun_creole,2,sausage rolls/buns
italian,british,13,frankfurter beef root vegetables curd dessert yogurt soft cheese rolls/buns mustard pickled vegetables canned beer hygiene articles napkins
mexican,french,1,canned beer
mexican,british,1,bottled beer
italian,southern_us,5,onions soda chewing gum chocolate newspapers
italian,british,5,tropical fruit packaged fruit/vegetables cream cheese white bread candy
french,italian,2,bottled water white wine
italian,french,5,beef white bread pastry pasta soap
indian,southern_us,9,sausage chicken tropical fruit root vegetables whole milk yogurt candy abrasive cleaner cleaner
italian,mexican,1,hair spray
southern_us,indian,5,chicken whole milk spices long life bakery product shopping bags
filipino,french,6,pork citrus fruit brown bread pastry sugar cat food
french,italian,1,ice cream
mexican,russian,3,meat hard cheese bottled beer
italian,french,4,other vegetables yogurt brown bread instant coffee
southern_us,italian,2,bottled water cake bar
irish,italian,3,tropical fruit soda salty snack
indian,southern_us,1,photo/film
italian,greek,7,sausage citrus fruit yogurt coffee soda canned beer dishes
italian,french,2,grapes root vegetables
italian,french,3,domestic eggs brown bread photo/film
mexican,vietnamese,3,rolls/buns canned fish canned beer
indian,southern_us,2,tropical fruit whole milk
southern_us,italian,1,chicken
indian,italian,5,frankfurter other vegetables yogurt brown bread bottled water
italian,brazilian,11,berries root vegetables other vegetables curd butter milk cream cheese roll products margarine misc. beverages specialty chocolate detergent
southern_us,none,2,margarine hygiene articles
southern_us,greek,5,tropical fruit yogurt rolls/buns soda shopping bags
french,italian,9,ham other vegetables whipped/sour cream hard cheese rolls/buns soda misc. beverages chocolate candy
russian,korean,3,hamburger meat white bread salty snack
greek,southern_us,5,yogurt mayonnaise rolls/buns soda napkins
italian,french,2,soda specialty chocolate
indian,greek,1,yogurt
irish,southern_us,1,soda
italian,indian,1,bottled water
mexican,korean,4,sausage meat hamburger meat rubbing alcohol
southern_us,japanese,8,citrus fruit pip fruit beverages hard cheese pet care soda fruit/vegetable juice waffles
southern_us,moroccan,1,shopping bags
mexican,chinese,1,newspapers
irish,indian,8,frankfurter other vegetables whole milk curd frozen potato products zwieback specialty bar dish cleaner
indian,british,4,sausage citrus fruit whole milk canned beer
southern_us,italian,2,frankfurter rolls/buns
southern_us,indian,3,salt salty snack cookware
chinese,mexican,1,oil
southern_us,japanese,8,curd beverages cream cheese rolls/buns pastry soda cake bar chewing gum
italian,brazilian,3,other vegetables butter specialty chocolate
southern_us,japanese,1,citrus fruit
indian,british,3,frankfurter whole milk butter milk
mexican,southern_us,6,root vegetables whole milk butter processed cheese mayonnaise salty snack
indian,british,4,tropical fruit whole milk frozen meals bottled beer
mexican,korean,3,beef hamburger meat pip fruit
british,russian,5,berries whipped/sour cream cereals waffles shopping bags
mexican,french,1,canned beer
french,russian,3,whipped/sour cream canned beer red/blush wine
southern_us,irish,5,root vegetables domestic eggs margarine chocolate marshmallow candy
indian,southern_us,2,whole milk soda
mexican,french,1,beef
indian,mexican,1,frozen vegetables
mexican,british,2,rolls/buns bottled beer
indian,southern_us,2,whole milk hygiene articles
indian,southern_us,1,whole milk
indian,italian,4,citrus fruit whole milk curd soft cheese
southern_us,french,2,pastry fruit/vegetable juice
mexican,southern_us,8,frankfurter sausage pork pip fruit butter processed cheese white bread brown bread
russian,french,5,tropical fruit root vegetables whole milk whipped/sour cream domestic eggs
french,russian,7,frankfurter sausage root vegetables yogurt whipped/sour cream pastry napkins
italian,vietnamese,10,berries root vegetables other vegetables packaged fruit/vegetables whole milk curd curd cheese cat food specialty bar detergent
french,cajun_creole,5,rolls/buns brown bread pastry coffee bottled beer
british,indian,7,root vegetables packaged fruit/vegetables curd dessert frozen vegetables specialty fat coffee
indian,greek,1,yogurt
indian,chinese,2,other vegetables bottled water
jamaican,british,2,berries white bread
greek,french,2,berries coffee
indian,southern_us,4,other vegetables butter milk frozen meals bottled water
southern_us,italian,2,rolls/buns newspapers
southern_us,russian,8,ham citrus fruit whole milk whipped/sour cream rolls/buns pastry waffles hygiene articles
indian,southern_us,4,whole milk frozen dessert salty snack napkins
southern_us,british,4,tropical fruit butter milk rolls/buns bottled water
italian,indian,1,bottled water
indian,british,2,butter milk yogurt
mexican,chinese,1,newspapers
italian,french,1,coffee
british,irish,2,bottled beer liquor
italian,russian,11,onions butter whipped/sour cream hard cheese frozen vegetables pasta specialty fat syrup candy napkins cling film/bags
italian,southern_us,7,hamburger meat hard cheese frozen meals pasta dog food salty snack shopping bags
italian,british,7,sausage liver loaf other vegetables cream cheese pastry soap shopping bags
french,greek,3,hard cheese pastry napkins
brazilian,filipino,4,sausage tropical fruit condensed milk rolls/buns
mexican,italian,1,hamburger meat
indian,southern_us,4,onions whole milk beverages frozen dessert
italian,french,1,coffee
southern_us,moroccan,1,shopping bags
southern_us,greek,6,yogurt rolls/buns pastry bottled water soda shopping bags
irish,southern_us,1,soda
italian,mexican,1,sliced cheese
indian,vietnamese,3,sausage whole milk coffee
italian,southern_us,2,yogurt chocolate
southern_us,italian,4,domestic eggs rolls/buns dish cleaner hygiene articles
indian,southern_us,1,whole milk
russian,southern_us,4,meat other vegetables whole milk whipped/sour cream
southern_us,mexican,4,dish cleaner bathroom cleaner hygiene articles napkins
french,italian,2,other vegetables red/blush wine
indian,brazilian,10,whole milk butter milk yogurt sliced cheese rolls/buns sweet spreads coffee fruit/vegetable juice long life bakery product shopping bags
italian,southern_us,4,other vegetables whole milk rolls/buns Instant food products
italian,none,2,tropical fruit other vegetables
mexican,southern_us,4,baking powder bottled water salty snack chewing gum
southern_us,italian,1,specialty bar
french,italian,1,ice cream
indian,greek,2,frankfurter yogurt
mexican,french,1,canned beer
italian,indian,1,bottled water
indian,brazilian,6,other vegetables whole milk rolls/buns margarine bottled water bottled beer
southern_us,japanese,5,citrus fruit tropical fruit onions other vegetables shopping bags
indian,italian,7,sausage ham hamburger meat whole milk soda softener newspapers
italian,french,4,domestic eggs rolls/buns specialty bar napkins
vietnamese,italian,7,pork citrus fruit tropical fruit root vegetables other vegetables curd hygiene articles
french,brazilian,6,specialty cheese frozen vegetables coffee soda fruit/vegetable juice salty snack
southern_us,italian,6,pork citrus fruit pip fruit yogurt fruit/vegetable juice sparkling wine
russian,mexican,5,beef berries whipped/sour cream domestic eggs rolls/buns
italian,filipino,2,other vegetables pet care
southern_us,greek,6,chicken yogurt sliced cheese rolls/buns chewing gum dishes
southern_us,chinese,2,soda chewing gum
indian,southern_us,1,whole milk
southern_us,italian,1,rolls/buns
mexican,british,1,bottled beer
french,british,4,root vegetables pastry bottled water male cosmetics
french,southern_us,1,pastry
southern_us,italian,4,berries pet care cake bar shopping bags
greek,irish,8,citrus fruit tropical fruit root vegetables yogurt canned vegetables bottled water soda softener
indian,mexican,4,whole milk oil canned fruit fruit/vegetable juice
irish,southern_us,2,soda misc. beverages
southern_us,irish,2,bottled water soda
italian,southern_us,3,tropical fruit other vegetables rolls/buns
mexican,russian,1,salty snack
mexican,italian,2,bottled water canned beer
italian,southern_us,1,chocolate
italian,french,4,citrus fruit UHT-milk cream cheese frozen vegetables
mexican,italian,3,bottled water canned beer male cosmetics
southern_us,french,6,onions other vegetables pastry bottled water soda napkins
southern_us,irish,4,dessert oil cat food soda
irish,greek,11,beef other vegetables whole milk frozen potato products rolls/buns oil margarine coffee dental care hygiene articles newspapers
mexican,british,7,rolls/buns zwieback bottled water misc. beverages bottled beer canned beer brandy
british,french,7,beef tropical fruit root vegetables onions other vegetables instant coffee soda
irish,southern_us,1,soda
italian,french,2,coffee hygiene articles
italian,mexican,3,rolls/buns brown bread bottled water
mexican,southern_us,9,pork beef hamburger meat other vegetables whole milk frozen vegetables rolls/buns margarine shopping bags
mexican,irish,6,soda canned beer liquor (appetizer) hygiene articles napkins newspapers
french,italian,5,sausage ham other vegetables ice cream white bread
italian,korean,5,beef root vegetables other vegetables rolls/buns sugar
indian,southern_us,4,whole milk butter bottled water bottled beer
french,italian,4,pork ice cream hygiene articles house keeping products
indian,filipino,7,berries packaged fruit/vegetables whole milk ice cream fruit/vegetable juice salty snack specialty bar
italian,russian,8,sausage other vegetables curd yogurt whipped/sour cream frozen vegetables rolls/buns roll products
southern_us,moroccan,3,bottled water misc. beverages cling film/bags
indian,chinese,8,tropical fruit other vegetables packaged fruit/vegetables whole milk hard cheese frozen dessert rice bottled water
italian,french,2,herbs bottled water
indian,greek,2,yogurt rolls/buns
italian,southern_us,1,Instant food products
italian,southern_us,1,specialty chocolate
italian,french,1,coffee
british,irish,2,bottled beer liquor
korean,russian,2,beef root vegetables
indian,southern_us,3,whole milk honey waffles
french,cajun_creole,5,frankfurter rolls/buns pastry snack products specialty bar
filipino,italian,10,frankfurter sausage liver loaf root vegetables curd frozen vegetables rolls/buns semi-finished bread hygiene articles photo/film
indian,italian,3,other vegetables whole milk cream cheese
vietnamese,chinese,5,frankfurter root vegetables pickled vegetables soda seasonal products
indian,southern_us,3,whole milk rolls/buns newspapers
southern_us,none,3,frankfurter margarine dental care
italian,filipino,2,other vegetables salty snack
southern_us,moroccan,2,bottled water shopping bags
french,southern_us,8,pork onions whole milk butter rolls/buns pastry rum hygiene articles
italian,indian,1,bottled water
russian,mexican,4,other vegetables whipped/sour cream specialty cheese domestic eggs
italian,indian,5,hamburger meat whole milk curd pasta canned beer
mexican,italian,3,hamburger meat citrus fruit other vegetables
southern_us,moroccan,1,shopping bags
indian,russian,4,whole milk cream cheese soda fruit/vegetable juice
french,italian,1,ice cream
french,southern_us,2,pastry bottled water
french,russian,14,ham pip fruit whole milk curd dessert butter milk whipped/sour cream sliced cheese cream cheese white bread coffee long life bakery product chocolate baby cosmetics
irish,southern_us,2,frankfurter soda
italian,greek,11,sausage turkey beef root vegetables domestic eggs rolls/buns flour rice organic products misc. beverages napkins
mexican,british,1,bottled beer
italian,spanish,3,bottled water bottled beer napkins
mexican,vietnamese,6,meat other vegetables hard cheese frozen meals bottled water soda
southern_us,italian,2,dessert candy
indian,british,4,other vegetables packaged fruit/vegetables UHT-milk bottled water
irish,southern_us,3,beverages rolls/buns soda
southern_us,italian,3,ham mustard canned fish
southern_us,italian,1,specialty bar
southern_us,irish,4,brown bread soda salty snack shopping bags
vietnamese,french,3,whole milk cream cheese coffee
french,italian,3,rolls/buns pastry red/blush wine
mexican,british,2,bottled beer nut snack
mexican,british,2,pet care bottled beer
irish,italian,3,citrus fruit other vegetables soda
indian,italian,4,pork other vegetables frozen vegetables hygiene articles
southern_us,italian,2,other vegetables shopping bags
french,italian,2,white wine detergent
indian,brazilian,3,whole milk dessert bottled water
french,southern_us,3,pip fruit white wine shopping bags
southern_us,irish,3,sugar soda bottled beer
cajun_creole,southern_us,6,tropical fruit pip fruit rolls/buns coffee fruit/vegetable juice candy
british,southern_us,10,root vegetables cream cheese spread cheese frozen dessert white bread bottled water soda misc. beverages fruit/vegetable juice bottled beer
irish,southern_us,2,soda misc. beverages
indian,southern_us,2,whole milk curd
indian,greek,5,tropical fruit other vegetables yogurt bottled water male cosmetics
russian,british,2,white bread brown bread
filipino,mexican,3,brown bread sugar hygiene articles
italian,cajun_creole,8,tropical fruit root vegetables coffee bottled water red/blush wine candy house keeping products shopping bags
